old_symbol	new_symbol
GPR144	ADGRD2
ADGRE1	ADGRE1
TM7LN3	ADGRE1
EMR1	ADGRE1
ADGRE2	ADGRE2
CD312	ADGRE2
EMR2	ADGRE2
ADGRE3	ADGRE3
EMR3	ADGRE3
ADGRE5	ADGRE5
TM7LN1	ADGRE5
CD97	ADGRE5
ADGRF1	ADGRF1
hGPCR36	ADGRF1
PGR19	ADGRF1
GPR110	ADGRF1
ADGRF2	ADGRF2
hGPCR35	ADGRF2
PGR20	ADGRF2
GPR111	ADGRF2
ADGRF3	ADGRF3
hGPCR37	ADGRF3
PGR23	ADGRF3
GPR113	ADGRF3
ADGRF4	ADGRF4
FLJ38076	ADGRF4
PGR18	ADGRF4
GPR115	ADGRF4
ADGRF5	ADGRF5
DKFZp564O1923	ADGRF5
KIAA0758	ADGRF5
GPR116	ADGRF5
ADGRG1	ADGRG1
TM7LN4	ADGRG1
TM7XN1	ADGRG1
GPR56	ADGRG1
ADGRG2	ADGRG2
HE6	ADGRG2
TM7LN2	ADGRG2
EDDM6	ADGRG2
GPR64	ADGRG2
ADGRG3	ADGRG3
Pb99	ADGRG3
PGR26	ADGRG3
GPR97	ADGRG3
ADGRG4	ADGRG4
RP1-299I16	ADGRG4
PGR17	ADGRG4
GPR112	ADGRG4
ADGRG5	ADGRG5
PGR27	ADGRG5
GPR114	ADGRG5
ADGRG6	ADGRG6
FLJ14937	ADGRG6
GPR126	ADGRG6
ADGRG7	ADGRG7
FLJ14454	ADGRG7
GPR128	ADGRG7
ADGRL1	ADGRL1
KIAA0821	ADGRL1
CIRL1	ADGRL1
LEC2	ADGRL1
LPHN1	ADGRL1
ADGRL2	ADGRL2
KIAA0786	ADGRL2
LEC1	ADGRL2
LPHH1	ADGRL2
LPHN2	ADGRL2
